ID,creator,age,stim,inverted,category1,category2,category3,confidence,creativity,filepath
1024,child,5.0,G,False,abstract doodle/hard to interpret,,,2.0,0,../data/children/stimuli_G/1024.png
1024,child,5.0,I,False,house,door,,2.0,2.0,../data/children/stimuli_I/1024.png
1024,child,5.0,R,False,house,door,,2.0,2.0,../data/children/stimuli_R/1024.png
1025,child,6.0,G,True,abstract doodle/hard to interpret,circles,lines,1.0,1,../data/children/stimuli_G/1025.png
1025,child,6.0,I,False,house,person,door,2.0,3.0,../data/children/stimuli_I/1025.png
1025,child,6.0,R,False,rocket,star(s),planet,2.0,3.0,../data/children/stimuli_R/1025.png
1026,child,6.0,G,False,creature/monster,writing,,1.0,2,../data/children/stimuli_G/1026.png
1026,child,6.0,I,False,creature/monster,,,1.0,1.0,../data/children/stimuli_I/1026.png
1026,child,6.0,R,False,creature/monster,,,1.0,1.0,../data/children/stimuli_R/1026.png
1027,child,6.0,G,True,submarine,,,2.0,3,../data/children/stimuli_G/1027.png
1027,child,6.0,I,False,(smiley) face,music,,2.0,2.0,../data/children/stimuli_I/1027.png
1027,child,6.0,R,False,rocket,star(s),planet,2.0,3.0,../data/children/stimuli_R/1027.png
1028,child,6.0,G,True,(smiley) face,lines ,,1.0,1,../data/children/stimuli_G/1028.png
1028,child,6.0,I,False,robot,(smiley) face,,1.0,2.0,../data/children/stimuli_I/1028.png
1028,child,6.0,R,True,rocket,,,1.0,2.0,../data/children/stimuli_R/1028.png
1029,child,5.0,G,False,completing,,,2.0,0,../data/children/stimuli_G/1029.png
1029,child,5.0,I,False,completing,,,2.0,0.0,../data/children/stimuli_I/1029.png
1029,child,5.0,R,True,completing,,,2.0,0.0,../data/children/stimuli_R/1029.png
2001,child,4.0,G,False,abstract doodle/hard to interpret,encircled,,2.0,0,../data/children/stimuli_G/2001.png
2001,child,4.0,I,False,abstract doodle/hard to interpret,encircled,,2.0,0.0,../data/children/stimuli_I/2001.png
2001,child,4.0,R,True,abstract doodle/hard to interpret,encircled,,2.0,0.0,../data/children/stimuli_R/2001.png
2002,child,4.0,G,False,creature/monster,cricles,,1.0,1,../data/children/stimuli_G/2002.png
2002,child,4.0,I,False,creature/monster,,,1.0,1.0,../data/children/stimuli_I/2002.png
2002,child,4.0,R,True,creature/monster,,,1.0,1.0,../data/children/stimuli_R/2002.png
2003,child,5.0,G,False,abstract doodle/hard to interpret,,,1.0,0,../data/children/stimuli_G/2003.png
2003,child,5.0,I,False,abstract doodle/hard to interpret,,,2.0,0.0,../data/children/stimuli_I/2003.png
2003,child,5.0,R,True,abstract doodle/hard to interpret,,,2.0,0.0,../data/children/stimuli_R/2003.png
2004,child,4.0,G,False,abstract doodle/hard to interpret,,,1.0,0,../data/children/stimuli_G/2004.png
2004,child,4.0,I,False,abstract doodle/hard to interpret,lines,,2.0,0.0,../data/children/stimuli_I/2004.png
2004,child,4.0,R,True,abstract doodle/hard to interpret,lines,,2.0,0.0,../data/children/stimuli_R/2004.png
2009,child,5.0,G,False,mushroom,,,1.0,2,../data/children/stimuli_G/2009.png
2009,child,5.0,I,False,blank,,,2.0,10.0,../data/children/stimuli_I/2009.png
2009,child,5.0,R,True,blank,,,2.0,10.0,../data/children/stimuli_R/2009.png
2010,child,5.0,G,False,abstract doodle/hard to interpret,lines,,1.0,1,../data/children/stimuli_G/2010.png
2010,child,5.0,I,False,(smiley) face,,,1.0,2.0,../data/children/stimuli_I/2010.png
2010,child,5.0,R,False,house,door,,2.0,2.0,../data/children/stimuli_R/2010.png
2011,child,6.0,G,False,bird,wings,,1.0,2,../data/children/stimuli_G/2011.png
2011,child,6.0,I,False,person(s),,,2.0,2.0,../data/children/stimuli_I/2011.png
2011,child,6.0,R,True,abstract doodle/hard to interpret,completing,,2.0,0.0,../data/children/stimuli_R/2011.png
2012,child,5.0,G,False,abstract doodle/hard to interpret,lines,,2.0,0,../data/children/stimuli_G/2012.png
2012,child,5.0,I,False,person(s),,,2.0,2.0,../data/children/stimuli_I/2012.png
2012,child,5.0,R,True,abstract doodle/hard to interpret,,,2.0,0.0,../data/children/stimuli_R/2012.png
2013,child,5.0,G,True,pregancy,creature/monster,,1.0,2,../data/children/stimuli_G/2013.png
2013,child,5.0,I,True,pregnancy,baby,,2.0,3.0,../data/children/stimuli_I/2013.png
2013,child,5.0,R,False,preganacy,baby,,2.0,3.0,../data/children/stimuli_R/2013.png
2014,child,6.0,G,False,mushroom,circles,,1.0,1,../data/children/stimuli_G/2014.png
2014,child,6.0,I,False,creature/monster,hands,,2.0,2.0,../data/children/stimuli_I/2014.png
2014,child,6.0,R,True,person(s),hands,ears,2.0,2.0,../data/children/stimuli_R/2014.png
2015,child,4.0,G,False,abstract doodle/hard to interpret,lines,,2.0,0,../data/children/stimuli_G/2015.png
2015,child,4.0,I,False,abstract doodle/hard to interpret,lines,,2.0,0.0,../data/children/stimuli_I/2015.png
2015,child,4.0,R,True,abstract doodle/hard to interpret,lines,,2.0,0.0,../data/children/stimuli_R/2015.png
2016,child,4.0,G,False,abstract doodle/hard to interpret,,,2.0,0,../data/children/stimuli_G/2016.png
2016,child,4.0,I,False,abstract doodle/hard to interpret,,,1.0,0.0,../data/children/stimuli_I/2016.png
2016,child,4.0,R,True,abstract doodle/hard to interpret,,,2.0,0.0,../data/children/stimuli_R/2016.png
2017,child,4.0,G,True,boat,(smiley) face,rainbow,1.0,2,../data/children/stimuli_G/2017.png
2017,child,4.0,I,False,person,,,1.0,1.0,../data/children/stimuli_I/2017.png
2017,child,4.0,R,False,(smiley) face,,,1.0,1.0,../data/children/stimuli_R/2017.png
2018,child,5.0,G,False,completing,,,2.0,0,../data/children/stimuli_G/2018.png
2018,child,5.0,I,False,blank,,,2.0,10.0,../data/children/stimuli_I/2018.png
2018,child,5.0,R,True,completing,,,2.0,0.0,../data/children/stimuli_R/2018.png
